character,my_tier,my_rank_in_tier,my_overall_rank,official_tier,official_rank_in_tier,official_overall_rank,tier_delta,archetype,weight_class,mobility,has_gimmick_mechanic,franchise,franchise_genre,party,smash_debut,is_dlc,is_echo,projectile_user,disjoint_user
Captain Falcon,C,6,59,A-,4,35,-24,Rushdown,Middleweight,Very Fast,False,F-Zero,Racing,First-party,Smash 64,False,False,False,False
Meta Knight,C,7,60,B-,6,55,-5,Rushdown,Lightweight,Fast,False,Kirby,Platformer,First-party,Brawl,False,False,False,True
Inkling,C,8,61,B-,2,51,-10,Rushdown,Middleweight,Fast,True,Splatoon,Shooter,First-party,Ultimate,False,False,True,False
Banjo & Kazooie,C,9,62,C-,1,64,2,All-rounder,Middleweight,Average,True,Banjo-Kazooie,Platformer,Third-party,Ultimate,True,False,True,False
Bowser Jr.,C,10,63,C-,2,65,2,Setup/Trap,Middleweight,Average,True,Super Mario,Platformer,First-party,Smash 4,False,False,True,False
Rosalina & Luma,C,11,64,B+,11,47,-17,Setup/Trap,Lightweight,Average,True,Super Mario,Platformer,First-party,Smash 4,False,False,True,False
Little Mac,C,12,65,E,3,85,20,Rushdown,Middleweight,Very Fast,True,Punch-Out!!,Sports/Fighting,First-party,Smash 4,False,False,False,False
Yoshi,C,13,66,S-,6,13,-53,All-rounder,Middleweight,Fast,True,Yoshi,Platformer,First-party,Smash 64,False,False,True,False
Bayonetta,C,14,67,A,3,24,-43,Rushdown,Lightweight,Average,True,Bayonetta,Action,First-party,Smash 4,True,False,True,False
Villager,C,15,68,D-,6,82,14,Setup/Trap,Middleweight,Average,True,Animal Crossing,Life Sim,First-party,Smash 4,False,False,True,False
Isabelle,C,16,69,C+,1,58,-11,Setup/Trap,Lightweight,Slow,True,Animal Crossing,Life Sim,First-party,Ultimate,False,False,True,False
Greninja,D,1,70,A-,5,36,-34,Rushdown,Middleweight,Fast,False,Pokemon,RPG,First-party,Smash 4,False,False,True,True
Mr. Game & Watch,D,2,71,S+,4,4,-67,Setup/Trap,Lightweight,Average,True,Game & Watch,Arcade,First-party,Melee,False,False,True,False
Snake,D,3,72,S+,3,3,-69,Setup/Trap,Heavyweight,Slow,True,Metal Gear,Stealth Action,Third-party,Brawl,False,False,True,False
Dr. Mario,D,4,73,D-,2,78,5,All-rounder,Middleweight,Slow,False,Super Mario,Puzzle,First-party,Melee,False,False,True,False
Wii Fit Trainer,D,5,74,C+,4,61,-13,Zoner,Middleweight,Average,True,Wii Fit,Fitness Sim,First-party,Smash 4,False,False,True,False
Diddy Kong,D,6,75,S-,1,8,-67,Setup/Trap,Lightweight,Fast,True,Donkey Kong,Platformer,First-party,Brawl,False,False,True,False
Fox,D,7,76,S-,7,14,-62,Rushdown,Lightweight,Very Fast,False,Star Fox,Shooter,First-party,Smash 64,False,False,True,False
Mega Man,D,8,77,A,7,28,-49,Zoner,Middleweight,Average,True,Mega Man,Platformer,Third-party,Smash 4,False,False,True,False
Steve,D,9,78,S+,1,1,-77,Setup/Trap,Middleweight,Slow,True,Minecraft,Sandbox Survival,Third-party,Ultimate,True,False,True,False
Min Min,D,10,79,S+,6,6,-73,Zoner,Middleweight,Average,True,ARMS,Fighting,First-party,Ultimate,True,False,False,True
Ice Climbers,F,1,80,B+,12,48,-32,Setup/Trap,Lightweight,Slow,True,Ice Climber,Platformer,First-party,Melee,False,False,True,True
Daisy,F,2,81,S-,5,12,-69,Setup/Trap,Lightweight,Average,True,Super Mario,Platformer,First-party,Ultimate,False,True,True,False
Peach,F,3,82,S-,4,11,-71,Setup/Trap,Lightweight,Average,True,Super Mario,Platformer,First-party,Melee,False,False,True,False
Duck Hunt,F,4,83,B-,8,57,-26,Setup/Trap,Lightweight,Average,True,Duck Hunt,Light Gun Shooter,First-party,Smash 4,False,False,True,False
Pac-Man,F,5,84,B+,6,42,-42,Setup/Trap,Middleweight,Average,True,Pac-Man,Arcade,Third-party,Smash 4,False,False,True,False
Jigglypuff,F,6,85,C-,4,67,-18,Aerial,Featherweight,Slow,False,Pokemon,RPG,First-party,Smash 64,False,False,False,False
Sonic,F,7,86,S+,2,2,-84,Rushdown,Middleweight,Very Fast,False,Sonic the Hedgehog,Platformer,Third-party,Brawl,False,False,True,False
